paragraph;label;tribunal;witness;document;case;date
to the proceeding I would like to thank you the witness for his time in this session I would like to put questions to Mr Vann Nath BY MR KONG PISEY Q The question is you told the Judges already that the Brother East frequently visited your workshop So when he paid such a visit did you hear any shouts or screams from the outside A The screams of the prisoners who were being tortured could be heard sometimes For example in the morning or in the afternoons normally during the working hours We worked  people worked three shifts and sometimes there was a scream and I did not really care whether I expected to hear the scream of the prisoners when he was paying me a visit So I did not take Extraordinary Chambers in the Courts of Cambodia Trial Chamber  Trial Day Case No   ECCC TC KAING GUEK EAV Page any notice regarding this matter Q Thank you So you had heard the screams during several occasions even during the time when Brother East paid you a visit Do I understand that correctly   A Im not quite sure whether when he stood there and that simultaneously I heard the screamings from the prisoner so Im not quite sure about it Q Thank you The next question I would like you to tell us when you were painting the pictures the paintings of the tortures what made you write  or paint such;1;1;Vann Nath;E1_39.1_TR001_20090629_Final_EN_Pub;Case 001;29.06.2009
portraits or such pictures A Mr Lawyer I think if I am not mistaken you asked me that Brother East did never  did not ask me to draw or paint any picture of tortures He only asked me to draw the portrait or the portrait of Pol Pot and I draw these latest pictures of the tortures after after the country was liberated and during that regime I only painted the portraits of the leaders   Q Thank you Because I noticed in the photo  in the pictures you painted the date was dated back to and I didnt realize that they were painted after So I would like to ask you another question When you were tortured at the detention were there any conditions imposed on you while being tortured Because you made Extraordinary Chambers in the Courts of Cambodia Trial Chamber  Trial Day Case No   ECCC TC KAING GUEK EAV Page a statement before the CoInvestigating Judges that during the interrogation they would put the plastic bag to cover your face So could you please elaborate on this a little bit further And that statement is D  A Im afraid that I never used the term plastic bag and that I was inflicted with a plastic bag I did say that an electric wire was attached to my pants and that I was electrocuted until I went unconscious and then the water would be splashed on me until I could recover;1;1;Vann Nath;E1_39.1_TR001_20090629_Final_EN_Pub;Case 001;29.06.2009
and then interrogation would continue I only told the Judges that when I entered that interrogation room I saw the blood stains on the floor I saw the torturing implements but I was not tortured with those implements except the electrocution Q Thank you I just raised this matter D  was about the testimony you made before the CoInvestigating Judges about the mask that was used to cover your face and that I dont know why you did not confirm this what you have already stated before the CoInvestigating Judges A Mr Lawyer once again Im afraid I never made such statement before the CoInvestigating Judges Maybe the other people did so   Q I would like to correct my message It was not before the CoInvestigating Judges but before the CoProsecutors My next question is you said this morning that you had an Extraordinary Chambers in the Courts of Cambodia Trial Chamber  Trial Day Case No   ECCC TC KAING GUEK EAV Page opportunity to walk past the individual cells Did you see anything inside those individual cells A The pathway to the place where I took a rest at night was the corridor right in front of those opened windows so I could glance at the cells but I did not have the right to inspect inside each cell Q Thank you So I would like now to proceed to another question This morning you stated that among the people of them were stripped;1;1;Vann Nath;E1_39.1_TR001_20090629_Final_EN_Pub;Case 001;29.06.2009
of their clothes and some were left without even underwear My question is that how long were people made to be naked without the underwear before they were given such underwear A I think when we approached the location there were not about the people People who wore black clothes had to remove them and give them to the guards and those with underwear could have the underwear Those who had the pants without underwear but the black clothes had to remove the black clothes and left naked until the guards would bring our new clothes But maybe just a few two or three of them would be left without clothes on   Q Thank you In your book page line you said among the people there were of them so I just quoted from your book A Maybe in the book I would have said so but I think  I dont Extraordinary Chambers in the Courts of Cambodia Trial Chamber  Trial Day Case No   ECCC TC KAING GUEK EAV Page know whether the English translation is correct Among the people there were only left when four disappeared so I think the most important thing is that the black clothes would not be left with us So whether we had any other clothes with us while the black clothes would be removed then we were left with just those clothes MR PRESIDENT Mr Lawyer your time has run out Civil party lawyers group the floor;0;1;Vann Nath;E1_39.1_TR001_20090629_Final_EN_Pub;Case 001;29.06.2009
is yours now MR WERNER Thank you Mr President BY MR WERNER Q Hello Please allow me to tell you that we are very much grateful for your testimony That was the first thing that I wanted to share with you I have a first question for you concerning Mr Bou Meng and you answered this morning to Judge Lavergne concerning what had happened with Mr Bou Meng and you said  well we dont have the transcript here but you said that you  when you saw Bou Meng come back into the workshop after two weeks he was pale he had long hair and he was tied  chained by his neck and by his legs and in your book which was mentioned earlier by one of my colleagues you also mentioned on page  you mentioned Bou Meng carrying bandages all over his bloody wounds all over his emaciated body Can you remember this Extraordinary Chambers in the Courts of Cambodia Trial Chamber  Trial Day Case No   ECCC TC KAING GUEK EAV Page A I still remember it clearly Q And in the same segment on page you added that in your presence the accused beat Bou Meng in his head with his foot and that Bou Meng fell to the floor that he kicked him in the head and that Bou Meng fell to the floor Do you remember that A Of course I do Q Thank you I have another question concerning;1;1;Vann Nath;E1_39.1_TR001_20090629_Final_EN_Pub;Case 001;29.06.2009
the centipedes You answered the judges about this and you said this morning that a guard told you that he was in charge of feeding centipedes Do you remember the name of this guard who was feeding centipedes A It was not the guard It was the same prisoner He was a carpenter not the guard   Q Did this prisoner explain to you exactly how the centipedes were used or were going to be used A Im not quite sure I know this but he said that there was a guard who ordered him to feed the centipedes and that guard belonged to the interrogation team So when I observed that he raised centipedes I only learned from the guard  from him the carpenter but I knew nothing more about this Q Thank you for this Before the CoInvestigating Judge  and I will refer to document D on the th of January The CoInvestigating Judge was questioning you on other torture methods and you said that you had learned from a prisoner called Pha Tha Chan that Pha Tha Chan would have been placed into a Extraordinary Chambers in the Courts of Cambodia Trial Chamber  Trial Day Case No   ECCC TC KAING GUEK EAV Page refrigerator Can you remember that A I do remember Q And what exactly did he say to you A I had known him only for a short period of time He worked as an interpreter and I worked;0;1;Vann Nath;E1_39.1_TR001_20090629_Final_EN_Pub;Case 001;29.06.2009
in the workshop as a painter We met only at night briefly So he told me that he was made to be immersed into that bathtub   He didnt say that it was ice water He only told me that it was normal water in that bathtub and his legs and hands were cuffed and his head were plunged into the water until he absorbed water or choked with the water and then they would kick on his stomach so that the water would be vomited out from inside And after he met me and asked me to produce or to paint a picture to commemorate that event And before the drawing of the picture as I already told the Judges this morning the East Germany men asked  who was in the process of pursuing the film and thats why I could produce such paintings Q Thank you And during these months you were able  so you painted sculpted at S was months and you said that even if the detention conditions were better of course than in the collective cell however you were working in a constant atmosphere of terror and of fear Is that so A As the prisoners we lived with constant fear Its normal Q My last question Were you told were you explained why you Extraordinary Chambers in the Courts of Cambodia Trial Chamber  Trial Day Case No   ECCC TC KAING GUEK EAV Page the artists were made to;1;1;Vann Nath;E1_39.1_TR001_20090629_Final_EN_Pub;Case 001;29.06.2009
work in a premise within S within the cries of the people who were being tortured and not outside of S so that you would be able to create peacefully and calmly Were you explained why A I dont know this matter for sure and I was not explained well about this because when we were uncuffed we were  I was happy I could eat and I could move and my feeling was good at that time And although I was detained it was not a problem I just tried to work hard and respected the orders of the Angkar and I was shocked somehow when I heard the screaming However I got used to it   Q I no longer have any further questions Thank you very much and I wish you all the best and all the best for your health Thank you MR PRESIDENT Next I would like to give the floor to put questions to this survivor to the defence counsel If you have questions the floor now is open for the defence counsel MR KAR SAVUTH Thank you Mr President QUESTIONING BY DEFENCE COUNSEL BY MR KAR SAVUTH Q Brother Vann Nath I would like to seek some clarification from you When a sculptor boasted about his skill but in fact he Extraordinary Chambers in the Courts of Cambodia Trial Chamber  Trial Day Case No   ECCC TC KAING GUEK EAV Page could not work at that time Duch had him;1;1;Vann Nath;E1_39.1_TR001_20090629_Final_EN_Pub;Case 001;29.06.2009
returned At that time Duch did not order him to be tortured Is that so Can you answer that A Mr Lawyer Duch did not order it as you said Q Thank you So when guards tortured him was Duch aware that the guards tortured him without his knowledge A Mr Lawyer I did not know the details of this matter However when he walked out the guards took the prisoner out so they went in a separate way So I did not know whether Duch knew of the torture or not Q Thank you Another question for clarification Besides the sculptor who was tortured by hanging from that rope was that rope tied and placed there permanently or it was only hanged there once to torture that sculptor A Mr Lawyer if we talk about that rope the rope was there permanently It was only a year after the liberation it was there as well So when I saw it it was there and the sculptor was tortured there on that rope This is my response to you Mr Lawyer   Q Thank you About the tombs at S you confirmed today that you did not witness personally how many dead bodies but because you saw the tombs you presumed that there were dead bodies is that so Extraordinary Chambers in the Courts of Cambodia Trial Chamber  Trial Day Case No   ECCC TC KAING GUEK EAV Page A Let me tell you that at S;1;1;Vann Nath;E1_39.1_TR001_20090629_Final_EN_Pub;Case 001;29.06.2009
I entered twice first time it was on the th of January So because when I fled I did not have any clothes so the four of us went inside the centre again to find some clothes but because of the bad smell from the dead bodies we did not really go inside At that time we didnt pay attention to how many dead bodies were there The next entry it was in November  after it was already cleaned up and there were tombs there so I concluded that there were dead bodies and of course I am not sure how many dead bodies in each tomb Q Thank you My fourth question Did you ever see Brother East  that is Duch  torture any prisoner during the time that you were there A Mr Lawyer for serious torture no But for kicking  because I dont want to say because I dont think its a torture  but just for kicking I saw it but not for serious beating up   Q Thank you At S you stayed there for one year Did you see the regulations or the disciplines displayed on the board A The regulations of the Santebal on the board I only saw it after the liberation because I had no authority to walk through that interrogation area so I did not know where the board was or Extraordinary Chambers in the Courts of Cambodia Trial Chamber  Trial Day Case No ;1;1;Vann Nath;E1_39.1_TR001_20090629_Final_EN_Pub;Case 001;29.06.2009
 ECCC TC KAING GUEK EAV Page at which room However the meanings of those regulations yes were created by the interrogation unit who made such regulations because I used to hear some of those regulations so I believe the interrogation unit was the one who imposed such regulations Q Thank you Did you ever see female prisoners jump from the upper floor to commit suicide A Mr Lawyer I saw one incident of such case It was before me about two metres it happened before me Q Can I ask you further Previously you stated in response to the CoProsecutors questions that you were strictly guarded and that people who were interred would be handcuffed or shackled However if the guards did not pay attention and if prisoners were cuffed or shackled how could a prisoner jump   A Mr Lawyer I would like to elaborate in detail on this matter so that you are clear That prisoner was female prisoner and usually for female prisoners in the common rooms most of them were not handcuffed or cuffed At that time I did not live on the ground floor I lived on the upper floor adjacent to that female prisoners room and interrogation team was on the ground floor And then a guard was ordered by them to bring me down  there were two of them  and another guard was ordered to bring the female prisoner down So the guard on the upper floor unlocked the;1;1;Vann Nath;E1_39.1_TR001_20090629_Final_EN_Pub;Case 001;29.06.2009
door and then while Extraordinary Chambers in the Courts of Cambodia Trial Chamber  Trial Day Case No   ECCC TC KAING GUEK EAV Page she was near the door he turned and unlocked my door While the guard was unlocking my door the female prisoner jumped And at that time the fence  the barbed wire there was only three or four lines it was not so full like it is now So when I reached the door she jumped about the wire  the wire fence onto the ground floor and she broke her head and died So then the guard pulled me back into the room and locked me  and locked the door So I did not come out of the room And about one and a half or two hours later then I was taken to the ground floor and that was the incident that I witnessed Q Thank you I finished my question and now I would like to give the floor to my colleague MR PRESIDENT The defence counsel the floor is yours MS CANIZARES Thank you Mr President   BY MS CANIZARES Q Sir you have described the conditions under which you lived at S Could you please tell us why you did not wish to join as a civil party A Ms Lawyer people have different ideas have different purposes and objectives First my main concern was my health that I would not be able to attend regularly during;1;1;Vann Nath;E1_39.1_TR001_20090629_Final_EN_Pub;Case 001;29.06.2009
the trial proceedings Extraordinary Chambers in the Courts of Cambodia Trial Chamber  Trial Day Case No   ECCC TC KAING GUEK EAV Page Secondly I believe this is not my own personal matter It is a matter for my whole Cambodian people So I would not be able to want to apply to be a civil party because I think I would not be able to come to attend the hearings regularly And if the Court wishes to have me as a witness yes I am willing to provide testimony Thats why I do not write a complaint to become a civil party And usually people who makes the complaint would have an objective to seek for reparation I myself personally I do not want to seek for any reparation And if the trial needs me at any time of their convenience then I am ready to provide my testimony MR KONG PISEY Mr President I would seek your permission to  I would seek your instruction to advise the defence counsel to ask questions only related to the fact before us in the Chamber this afternoon Thank you   MR PRESIDENT Unfortunately the objection was too late seeing the witness already responded to the question I think it is quite proper that the question was asked because it is an exception why he did not want to be a civil party Defence counsel you may continue BY MS CANIZARES Extraordinary Chambers in the Courts of Cambodia;0;1;Vann Nath;E1_39.1_TR001_20090629_Final_EN_Pub;Case 001;29.06.2009
Trial Chamber  Trial Day Case No   ECCC TC KAING GUEK EAV Page Q A question was put to you by Judge Lavergne this morning and you answered that it was important for you to be in a position to bear witness so that the younger generations may know of the suffering experienced by the older generations so that these historic events would not repeat themselves And you also said that what you wanted out of this trial would be justice to be made   Do you think that the position of the accused who does acknowledge the great majority  the overwhelming majority of crimes that are charged to him and his regrets can help you and the other victims believe that justice has been done at least in part MR PETIT Apologies but where are we going with this This question is perhaps a form of pleading possibly but it is definitely outside the scope and the expertise lets say and the knowledge the frame of knowledge of the witness It may amount to a very nicelooking statement but its not a question to be put to a witness as to the facts I would for myself opine that it is not relevant and should be denied MR PRESIDENT Thank you for the CoProsecutors observation The Chamber thinks it is appropriate So the defence counsel you cannot ask this question and the Extraordinary Chambers in the Courts of Cambodia Trial Chamber  Trial Day Case;0;1;Vann Nath;E1_39.1_TR001_20090629_Final_EN_Pub;Case 001;29.06.2009
No   ECCC TC KAING GUEK EAV Page witness you do not have to answer this question You might proceed with another question and do not impose a question to ask for personal opinion which is not the fact You are asked to put questions only related to the facts which have been known and have been heard by the witness or have been seen by the witness MS CANIZARES Consequently Your Honour I have no further questions to ask Thank you MR PRESIDENT I have a small question   BY MR PRESIDENT Q I think you have already made clarification to the question First you said you worked three sessions per day in your painting in the workshop and often the accused came to your workshop during the evening So this meant you worked three sessions morning afternoon and at night in doing your painting Is this correct A Mr President that is correct Q So when you worked doing the painting at night until what time you finished A Regularly I finished at p m Sometimes we finished at a m Q Was it only you working at night or all the people working in the workshops also worked during the night shift Extraordinary Chambers in the Courts of Cambodia Trial Chamber  Trial Day Case No   ECCC TC KAING GUEK EAV Page A Mr President all the painters worked for all sessions Q Thank you MR PRESIDENT The Judges of the Bench you;0;1;Vann Nath;E1_39.1_TR001_20090629_Final_EN_Pub;Case 001;29.06.2009
have any questions  any additional questions to be put to the witness   If not I notice the presence of Ms Studzinsky MS STUDZINSKY Thank you Mr President As we have still time I noted that there was a question that was  or the witness answered that he saw kicking by the accused and I would like to elaborate a little bit more on this which was not considered as a serious torture by the witness Or if not if you  first I want to request to grant more time to elaborate on this question If you reject my request then I would ask the Chamber to ask the witness more on torture that was inflicted on prisoners but lets say understood by the witness as not serious ones Thank you MR KAR SAVUTH Thank you Mr President In fact the time allocation was done and strictly adhered to and I would like each party to strictly respect the time allocation Thank you MR PRESIDENT The Chamber does not allow any time permission because we already determined if you can seek any approaches to shorten the time Extraordinary Chambers in the Courts of Cambodia Trial Chamber  Trial Day Case No   ECCC TC KAING GUEK EAV Page then the Chamber would welcome but any further extension or delay no we will not Thank you Uncle Nath for your time your valuable time and your effort to participate in our proceedings by providing your testimony;0;1;Vann Nath;E1_39.1_TR001_20090629_Final_EN_Pub;Case 001;29.06.2009
We notice that the proceeding today now comes to an end and the Chamber will adjourn todays hearing now The Chamber will resume its hearing tomorrow from a m Court official can you facilitate with the Witness Unit to make an arrangement for the return of the witness to his residence by appropriate means Security officers take the accused back to the detention facility and bring him back before a m tomorrow Judges exit courtroom Court adjourns at H;0;1;Vann Nath;E1_39.1_TR001_20090629_Final_EN_Pub;Case 001;29.06.2009
ýý ý Kingdom of Cam bodia Nation Religion King Royaume du Cambodge Nation Religion Roi GgÁCMnMuRmHvisamBaØkñúgtulakark ð Trial Chamber Chambre de première instance TRANSCRIPT OF TRIAL PROCEEDINGS  KAING GUEK EAV ﬁDUCHﬂ PUBLIC Case File Nº   ECCC TC June H Trial Day Before the Judges NIL Nonn Presiding Silvia CARTWRIGHT YA Sokhan JeanMarc LAVERGNE THOU Mony YOU Ottara Reserve Claudia FENZ Reserve Trial Chamber Greffiers Legal Officers DUCH Phary SE Kolvuthy LIM SuyHong Natacha WEXELSRISER Matteo CRIPPA For the Office of the CoProsecutors William SMITH TAN Senarong PICH Sambath Zachery LAMPEL PAK Chanlino The Accused KAING Guek Eav Lawyers for the Accused KAR Savuth MariePaule CANIZARES Heleyn UÑAC Lawyers for the Civil Parties KIM Mengkhy KONG Pisey TY Srinna HONG Kimsuon YUNG Phanit Martine JACQUIN Silke STUDZINSKY Alain WERNER For Court Management Section KAUV Keoratanak CmúCa Extraordinary Chambers in the Courts of Cambodia Chambres Extraordinaires au sein des Tribunaux Cambodgiens Extraordinary Chambers in the Courts of Cambodia Trial Chamber  Trial Day Case No   ECCC TC KAING GUEK EAV Page i I N D E X WITNESSES MR CHUM MEY Questioning by Mr President commences pa ge Questioning by Judge Cartwright commences page Questioning by Judge Lavergne commences page Questioning by Mr Tan Senarong commences page Questioning by Mr Smith commenc es pa ge Questioning by Mr Hong Kimsuon commences page Questioning by Ms Studzinsky commences page Questioning by Ms Jacquin commences page Questioning by Ms Ty Srinna comm ences page Questioning by Mr Kar Savuth;0;1;Chum Mey;E1_40.1_TR001_20090630_Final_EN_Pub;Case 001;30.06.2009
commenc es page Questioning by Judge Cartwright commences page Extraordinary Chambers in the Courts of Cambodia Trial Chamber  Trial Day Case No   ECCC TC KAING GUEK EAV Page ii List of Speakers Language used unless specified otherwise in the transcript Speaker Language MS CANIZARES French JUDGE CARTWRIGHT English MR CHUM MEY Khmer MR HONG KIMSUON Khmer MS JACQUIN French MR KAR SAVUTH Khmer JUDGE LAVERGNE French MR SMITH English MS STUDZINSKY English MR TAN SENARONG Khmer THE ACCUSED Khmer THE PRESIDENT NIL NONN Presiding Khmer MS TY SRINNA Khmer MR WERNER English Extraordinary Chambers in the Courts of Cambodia Trial Chamber  Trial Day Case No   ECCC TC KAING GUEK EAV Page P R O C E E D I N G S   Judges enter courtroom MR PRESIDENT Please be seated The Chamber is now in session The Greffier can you report on the attendance of the parties THE GREFFIER Mr President all parties are present The survivor who is also a civil party is also present for todays testimony   MR PRESIDENT Court officer can you invite the civil party Chum Mey into the courtroom Witness enters courtroom QUESTIONING BY THE BENCH BY MR PRESIDENT Q Uncle what is your name A My name is Chum Mey Q Do you have any other names besides Chum Mey So your official name is Manh not Mey So your official name is Chum Manh and Mey is your alias Is this correct A;0;1;Chum Mey;E1_40.1_TR001_20090630_Final_EN_Pub;Case 001;30.06.2009
Mr President Your Honours both national and international judges and my respect to all the lawyers and the CoProsecutors and also the civil parties lawyers My respect also to the noblemen as well as national and international audience Extraordinary Chambers in the Courts of Cambodia Trial Chamber  Trial Day Case No   ECCC TC KAING GUEK EAV Page Q How old are your this year Uncle A I am years old   Q What is your current address A I live at Stueng Mean Chey quarter Stueng Mean Chey district Q What is your current occupation A I do not work at the moment Q Regarding this criminal case file you lodged your application as a civil party and the question is do you seek reparation for yourself or you waive your rights to your lawyer to seek for reparation on your behalf A I lodged my application and regarding the reparation I gave the right to my lawyer to act on my behalf Q As a civil party what is your connection to the facts alleged to the accused A I am involved with the facts because the accused alleged that I was part of a CIA or KGB network Q So the fact on the accused is related to the S security office or does it relate to the Prey Sar reeducation office A It is related to S or Tuol Sleng Q Is it your direct involvement as a victim there or on your;0;1;Chum Mey;E1_40.1_TR001_20090630_Final_EN_Pub;Case 001;30.06.2009
relatives or is it both  your involvement and your relatives involvement A I and my family decided to make application to be a civil party to this case Extraordinary Chambers in the Courts of Cambodia Trial Chamber  Trial Day Case No   ECCC TC KAING GUEK EAV Page Q The question is whether you yourself directly suffered from the acts alleged in the facts Uncle before the th April where did you live and what was your occupation A Before I was a mechanic fixing tractors cars for example Q And where were you at the time A In Phnom Penh   Q And on the th April when the Khmer Rouge soldiers entered Phnom Penh where were you and what were you doing A In I was in Phnom Penh MR PRESIDENT Court officer that is okay BY MR PRESIDENT Q Uncle on the th April  and you already told us your previous response already  what we want is to know about your connection to the S office but we want to know about your situation from the April until the of January However there will be stages that we would question you So first of all we want to know on the th April where were you and what did you do A In on that day I was with the Prince Chang Raing Sey at Chbar Mon in Kampong Speu province Actually in Chang Raing Sey had me transferred to Phnom;0;1;Chum Mey;E1_40.1_TR001_20090630_Final_EN_Pub;Case 001;30.06.2009
Penh so I was taken by a Extraordinary Chambers in the Courts of Cambodia Trial Chamber  Trial Day Case No   ECCC TC KAING GUEK EAV Page helicopter from Chbar Mon to Phnom Penh and he advised me that I should go home for now and if I needed you I would call you back Q We want to know the event on the April when the Khmer Rouge entered Phnom Penh What did you do and where were you at the time   A Let me continue and I will reach that point When I entered Phnom Penh the Khmer Rouge were shelling from Vihir Sur into Phnom Penh also from Ta Khmao into Phnom Penh So a lot of locations were burned in Toek Laâk for example so the shelling was from every direction At that time the Khmer Rouge entered at eight oclock in the morning and I was near the vicinity of Phsa Depo at the time When the Khmner Rouge entered some female soldiers came into the city with one of the trouser sleeves pulled up and carrying the B rocket launcher Q So you were in Phnom Penh on that day right And were you evacuated by the Khmer Rouge force on that day or when And which direction were you evacuated to A Mr President when they entered everybody including myself raised a white flag to congratulate them everybody cheered However in the afternoon at about p m they walked;0;1;Chum Mey;E1_40.1_TR001_20090630_Final_EN_Pub;Case 001;30.06.2009
from house to house and informed us that we had to leave Phnom Penh five kilometres away from Phnom Penh because the Americans were about to bomb the city Extraordinary Chambers in the Courts of Cambodia Trial Chamber  Trial Day Case No   ECCC TC KAING GUEK EAV Page Q So the Khmer Rouge evacuated you to which direction A So at that time some people refused to leave and the Khmer Rouge shot them two or three of those people fell on the ground I was scared so I collected my family and then we moved We went near toward Pet Louk Sâng Hospital and the road was so full we could hardly walk   And we reached Toek Thla It was near dark already so I rested near the Kop Sroeu area for one night Later on I made my journey to Preik Phnoeu and when we reached Preik Phnoeu it was night time and since I could not find any water in order to cook rice so I took my children and my wife to stay near the river bank in order to get some water At that time because it was dark I actually stepped on dead bodies around the river bank So after I cooked a meal we ate and then we rested and at p m we were chased again to move on So we continued our journey On the left side there was a pond a fish pond but because;1;1;Chum Mey;E1_40.1_TR001_20090630_Final_EN_Pub;Case 001;30.06.2009
the fish did not have anything to eat and I saw the bloated dead bodies in the pond and the fish were eating those dead bodies So along the road from Preik Phnoeu we saw stacks of dead bodies everywhere Q And so you reached a work crew Where was it A Its near Preik Kdam Extraordinary Chambers in the Courts of Cambodia Trial Chamber  Trial Day Case No   ECCC TC KAING GUEK EAV Page So we continued the journey and we were asked to cross the river to the east side of the river That night it rained and one of my children got diarrhoea and a high fever and I did not have any medicine for him So I went to ask for medicine from Angkar and I walked to find Angkar but I could not find any Angkar so when I asked to see Angkar I was told to move on but I could not find who was Angkar   And as a result my son died Where upon then I borrowed a hoe and then I dug the ground and buried my son He was two years old at the time Later on we continued our journey It was difficult for us because there was no shelter or shade for us to rest and under each tree people just gathered around to make a big crowd So it was so hard so miserable And we continued our journey until Cheung Chnok near;1;1;Chum Mey;E1_40.1_TR001_20090630_Final_EN_Pub;Case 001;30.06.2009
Thnal Keing and we were stopped there I didnt know what else to do And then we were ordered to go behind the Cheung Chnok Pagoda and we were asked to stay there temporarily We stayed there and on that night it rained again so we stayed under the house of the local villagers The next morning I went to the rice fields to find food looking for crabs Then I saw a bus and an announcement was made through a loud speaker looking for any mechanics that Angkar is looking for mechanic to go and work in Phnom Penh So I told them that I Extraordinary Chambers in the Courts of Cambodia Trial Chamber  Trial Day Case No   ECCC TC KAING GUEK EAV Page was a mechanic then I was given a letter of authorization So with that letter of authorization I saw the people who were in charge there and I was told that I should not go during the day but I should go in late afternoon   So in late afternoon we left and when we reached Preik Kdam I handed the paper to the chief there and I was told to wait there until there would be more mechanics coming So together there were seven mechanics including Da Jin Ta Seun Ta Peng and the seven of us were asked to come to Phnom Penh And I asked What about my family  and I was told Dont worry about the;0;1;Chum Mey;E1_40.1_TR001_20090630_Final_EN_Pub;Case 001;30.06.2009
family They can stay here and Angkar would look after your family  So I boarded the boat and we travelled on the boat and we got out of the boat in Russei Keo and I showed the letter to Comrade Sroe who was in charge of boat repair section there So in the morning the seven of us were asked to fix the boats From what I can recall we fixed more than boats So after we completed the repair then the soldiers were loaded full on each boat and the boat departed to Kratié Province And later on I was asked if I could fix or repair a tractor or a car and I told them yes I could fix tractors and cars And Comrade Sroe asked whether I could drive them as well and I told him Yes Then I was asked to drive the bulldozer into the ferry and another vehicle into the ferry and those vehicles were sent to Extraordinary Chambers in the Courts of Cambodia Trial Chamber  Trial Day Case No   ECCC TC KAING GUEK EAV Page Kratié Province So I was also asked to board the ferry in order to drive the tractor and the trucks on the other side of the river bank and the next day I returned   So when I returned to my work location then I was requested if I knew all the pieces or spare pieces of a tractor and when they knew;0;1;Chum Mey;E1_40.1_TR001_20090630_Final_EN_Pub;Case 001;30.06.2009
I knew then I was transferred to Orussei So when we were at Russei Keo there were six of us but when I was transferred to Orussei I was instructed to collect the tools from the houses in order to put them in the warehouse Then Comrade Kun asked me whether I could fix the loudspeaker and I told him yes so I was asked to repair the loudspeakers in the middle of the Orussei market So I fixed those loudspeakers for about three or four months and later on we were told that we no longer needed to collect those tools instead Angkar required us to collect sewing machines in order to sew black clothes So we collected sewing machines All together we collected sewing machines and after that we saw female  we saw women who came to that factory to sew the black clothes There were about women and roughly men to the sewing machine factory So we started working there from  until  and in  this is  I just briefly summarize the event I was ordered to repair vehicles in Vietnam thats what I was told but before they told me that Comrade Kun who was my boss was already Extraordinary Chambers in the Courts of Cambodia Trial Chamber  Trial Day Case No   ECCC TC KAING GUEK EAV Page arrested And then Choum came to replace him and a few months later Choum was arrested and replaced by Comrade Yung;0;1;Chum Mey;E1_40.1_TR001_20090630_Final_EN_Pub;Case 001;30.06.2009
  I was not sure but according to Duch Comrade Yung or another Choum phonetic was in charge of that location and after Yung disappeared another female from Ta Keo named Wan came to replace at that location which was called Ko Nagn and also another Comrade  Lin came to work in that location And that was the time that I was called and instructed to go and repair vehicles because Angkar planned to attack Vietnam So the three of us did not object and we volunteered to go And in the morning we carried the tools to depart from Ko Nagn in a Lambretta However we were told that we did not need to bring the tools we just go by ourselves so we boarded the Lambretta And along the way I did not know that because I saw the fence of the  zinc fence I could not see what was inside So we were brought into Tuol Sleng but I did not know that place was called Tuol Sleng at the time Later on we were put into the house which was opposite Tuol Sleng Once we disembarked from Lambretta we were arrested and handcuffed and our scarf on our neck was used to blindfold us and then we were walked inside the compound While I was walking I told a person that brother Please look after my family Then the person kicked me and I fell on the ground and he said You motherfucker;1;1;Chum Mey;E1_40.1_TR001_20090630_Final_EN_Pub;Case 001;30.06.2009
Angkar needs to smash you all You dont need to think about Extraordinary Chambers in the Courts of Cambodia Trial Chamber  Trial Day Case No   ECCC TC KAING GUEK EAV Page your family  Then I was taken into the room and my height was taken and I was photographed I was so  the method used was so hot It was always hot not cold method or other method as Duch claimed We were scalded We were called contemptible this or contemptible that And they asked me about my biography and I told him I was from Kampong Lvia Commune Kampong Trabeck District and Prey Veng Province   Then they took my photograph and they took my shirt off and my pants off I only had my shorts And my shoes were also taken away And my hands were cuffed to the back and I was blindfolded Then they walked me to the location where I was detained  and actually I told the CoInvestigating Judges of that location already So I was placed into that cell They shackled my legs then they took off the cuffs and unblindfolded me Then they used a piece of cloth to use to conceal themselves and I could see the guards walking up and down the corridor And at about oclock then a person came to cuff my hands to the back blindfolded me and then they unshackled my legs Then the person pulled my earlobe to stand;1;1;Chum Mey;E1_40.1_TR001_20090630_Final_EN_Pub;Case 001;30.06.2009
up and I was walked to the stairs and then they pulled my earlobe to go down and instructed me that You you go down So I went down to the staff building Extraordinary Chambers in the Courts of Cambodia Trial Chamber  Trial Day Case No   ECCC TC KAING GUEK EAV Page So whenever I had to go up the stair my earlobe was pulled up and when I reached a room I was ordered to sit Then my legs were shackled and the handcuffs were taken off After I was unblindfolded I saw the fresh blood nearby I didnt know which person the blood belonged to And then later on they started to interrogate me They asked me to tell them the truth how many of us joined the CIA and KGB and I put my hands together and pleaded them to spare my life and they told me not to do that to them because they were not monks   And then I told them I did not know any CIA or KGB and truly I did not know these terms I heard of them but I never knew the roles of those people And then I asked them again to  I used the term Lok or Mister and using the term resulted in the beatings like lashes and then I did not know how I could ask them for forgiveness so I called them Brother So before I could use the term;1;1;Chum Mey;E1_40.1_TR001_20090630_Final_EN_Pub;Case 001;30.06.2009
